url_length,num_dots,num_hyphens,num_digits,num_special_chars,num_slashes,url_depth,domain_length,subdomain_count,has_ip_address,tld_suspicious,tld_in_path,has_at_symbol,has_double_slash,https_token_in_domain,url_entropy,digit_ratio,letter_ratio,path_length,query_length,num_query_params,fragment_present,brand_in_subdomain,brand_in_path,suspicious_words_count,has_port,is_https,domain_has_hyphen,num_subdomains_gt2,url_has_encoded_chars,brand_typosquat,brand_exact_in_domain,label
189,3,6,11,7,9,5,39,3,0,1,1,0,0,0,4.633297976578721,0.23732918252262789,0.6703545660999441,89,17,3,1,1,1,4,1,1,1,1,1,0,0,1
98,7,5,24,5,6,8,28,1,0,0,0,0,0,0,4.219136608120756,0.18448022156933203,0.4628723215090328,32,12,2,0,1,1,8,0,1,1,0,0,0,0,1
110,10,5,7,4,8,4,20,2,0,1,0,1,0,1,3.8575107306267857,0.18612331402672846,0.37293565187143385,65,78,3,0,1,1,7,0,1,1,1,1,1,1,1
81,4,2,10,3,7,8,22,1,0,1,0,0,0,0,4.16448796078135,0.21287165433870542,0.43486899855991645,83,38,6,0,1,0,6,1,1,0,1,1,1,0,1
77,3,8,7,12,4,3,20,3,0,1,0,0,1,0,4.666766720997764,0.15696022013673516,0.6205280858473494,63,79,5,0,0,1,8,0,1,0,1,0,0,1,1
174,7,4,17,6,10,3,41,1,0,1,1,0,0,0,4.24401443958197,0.4115068099911934,0.5578406918099567,36,10,5,0,1,1,3,0,1,1,0,0,1,0,1
77,10,4,15,4,8,4,25,3,0,1,0,0,1,0,4.123792755561593,0.4058609742663305,0.43878257729663994,23,49,4,0,1,1,5,0,0,0,1,0,1,0,1
197,6,5,12,7,11,3,38,4,0,1,1,0,1,1,5.002576004780799,0.41940396044967587,0.4242515926331555,43,37,6,0,1,1,7,0,0,0,1,1,0,0,1
223,10,5,6,2,5,5,38,2,0,1,0,0,0,1,4.6522375804575455,0.30334628081181775,0.49319899216867896,21,0,4,0,1,1,4,0,1,1,0,1,0,1,1
131,4,2,13,11,8,8,27,2,0,1,0,0,1,1,4.474087876456793,0.4357663216724629,0.578381720263432,67,39,6,0,1,1,2,0,0,0,0,0,1,1,1
238,5,3,15,7,4,7,40,3,0,1,1,1,0,0,4.829181198527487,0.203611502018509,0.47993842298089695,63,66,2,0,0,1,6,1,0,1,1,0,1,1,1
238,3,5,7,5,11,7,21,4,0,1,0,0,1,1,5.1160266151305205,0.41079609001195294,0.6220755496646923,42,41,1,0,1,1,5,1,1,0,1,0,1,0,1
242,4,3,9,13,4,5,21,1,0,1,0,0,0,1,5.184045457927407,0.38640775404635197,0.6095651214560303,84,29,3,1,0,1,5,0,0,1,0,0,1,0,1
69,7,5,10,10,10,3,32,4,0,1,0,1,1,0,4.350098348198326,0.42264835755424823,0.4617047731128245,48,58,5,0,1,1,5,0,1,1,0,0,1,1,1
115,11,7,19,5,11,5,32,4,0,0,0,0,0,0,4.807695549030164,0.278126953112974,0.6674802144183279,66,26,2,0,1,1,5,1,1,1,0,0,1,1,1
143,10,3,7,12,11,8,38,1,0,1,1,1,1,0,5.074457674259354,0.1708828427734651,0.5397276622327517,58,56,5,0,1,1,8,0,0,1,0,1,1,0,1
242,8,4,13,4,11,8,41,2,0,1,0,0,1,0,5.093424299297909,0.39516301001669263,0.6923715507675965,42,1,5,0,0,1,6,1,0,1,1,0,1,1,1
146,8,7,10,13,8,4,27,1,0,0,0,1,0,1,4.346087626219141,0.4495133302541705,0.41740678813081844,86,12,0,0,0,0,4,1,1,0,1,0,0,1,1
195,10,6,7,4,7,6,32,1,0,1,0,0,0,1,4.818980618556206,0.4418324273758062,0.4614142356701571,55,23,3,0,1,1,7,0,0,0,1,1,0,0,1
127,4,5,8,13,6,3,33,4,1,1,0,1,1,1,4.410843323571968,0.3711183584522805,0.36219342259797044,43,52,5,1,1,0,7,0,0,0,1,1,0,1,1
122,9,3,14,9,10,7,30,2,0,1,0,1,1,1,4.045485116035491,0.3880876679824149,0.4894773182159743,45,55,6,1,1,1,8,0,0,0,1,1,0,1,1
134,5,7,4,9,9,6,28,4,0,1,1,0,0,1,4.386118522240722,0.36526861155650114,0.6393140196302755,44,44,1,0,1,1,4,0,0,1,1,1,0,0,1
207,4,7,22,3,7,7,30,4,1,1,0,1,0,1,3.93881975883834,0.1724448058742939,0.49795691199522174,85,41,1,1,0,1,4,1,1,1,0,1,0,0,1
128,9,2,19,3,4,3,30,3,1,0,0,0,0,0,3.861845144121826,0.24044273746513967,0.4633778341281726,52,75,0,0,1,0,6,0,1,0,1,1,1,1,1
184,5,3,8,14,4,7,41,1,0,1,0,0,0,0,4.348088771342929,0.21524186085921934,0.5078662750648393,61,77,3,0,1,1,4,0,1,1,1,0,1,1,1
120,10,5,19,11,8,4,32,4,0,1,0,1,0,1,5.093460560763602,0.30264213366258486,0.3516165795951646,63,3,6,0,1,1,6,0,1,1,1,0,1,0,1
247,6,7,15,2,6,7,22,2,0,1,0,0,0,1,4.631981772022212,0.40735159862943804,0.4810623777571282,74,9,0,0,1,1,6,0,1,1,1,1,0,0,1
246,3,3,18,5,9,8,19,1,0,1,0,1,0,1,4.666200689437499,0.11403325345547158,0.5116045190145783,87,41,6,1,1,1,3,1,0,1,0,0,1,0,1
248,10,8,17,6,7,3,29,2,0,0,0,1,0,1,5.064184814768591,0.11579016099824749,0.6775559357038782,22,60,5,1,1,0,8,0,0,1,1,1,1,0,1
89,5,4,20,4,8,4,23,4,1,0,0,0,0,0,5.120735291788995,0.14442733987682194,0.6285259978084394,41,43,2,0,0,1,5,0,1,1,1,1,1,1,1
167,10,7,13,4,11,8,34,1,0,1,0,0,0,0,5.168069821880101,0.18272615238424061,0.367191175312514,22,28,1,1,1,1,4,0,0,1,0,0,0,0,1
233,4,4,6,3,7,4,28,2,0,1,0,0,1,1,4.714468639031946,0.33549868813971273,0.5021659113831661,76,18,5,1,0,1,7,1,1,1,1,1,0,1,1
157,7,8,12,14,4,7,34,1,0,1,0,0,0,1,3.88446314600391,0.3877747411328324,0.576864305383497,35,59,5,0,1,0,7,0,0,1,0,1,1,0,1
179,6,5,4,11,7,5,32,1,0,1,1,0,0,0,4.181621096382249,0.13875349051019403,0.6846163308329202,76,12,1,0,1,0,3,0,0,1,1,1,1,1,1
107,5,4,6,11,8,7,37,1,0,0,0,0,0,0,4.137054299699977,0.22628369649613037,0.4117244517462304,24,18,3,0,1,1,3,1,1,1,1,1,1,0,1
119,3,8,11,8,9,6,18,4,0,1,0,0,0,1,3.913615600593459,0.10553194440404685,0.5170202216490236,52,39,3,0,1,0,4,1,1,0,0,0,0,0,1
90,5,2,12,11,6,7,34,3,0,1,1,1,1,1,5.12901093221296,0.24100786297767035,0.6419423122007378,85,0,4,1,1,0,8,0,1,1,0,1,1,0,1
110,8,3,4,7,11,5,36,2,0,0,0,0,1,1,4.599634306878038,0.44792722035833243,0.36352550843940956,34,16,6,0,1,1,5,0,1,1,1,1,1,0,1
160,8,7,18,3,11,3,29,3,0,1,0,0,1,1,4.080787459850176,0.16488134548086997,0.5123398386620066,48,19,2,0,0,0,6,1,1,1,0,1,1,0,1
110,8,4,9,2,4,3,39,3,0,1,0,0,0,1,3.8707503841100808,0.4035982388189042,0.45703008005849854,26,49,3,1,0,0,7,0,1,0,1,0,0,0,1
177,5,4,6,14,5,4,31,3,0,1,0,0,1,0,4.7491605935630625,0.28308167474776025,0.415985581855956,55,26,5,0,0,0,3,0,0,1,0,1,1,0,1
246,3,3,14,12,8,5,34,4,0,1,0,0,0,0,4.9614335727199865,0.10855779430870521,0.42705526190330484,84,56,2,0,1,1,5,0,1,1,0,1,0,1,1
159,10,3,19,11,11,4,23,3,0,1,1,1,0,0,4.6897844956142585,0.36039815294324684,0.5360645215434038,57,8,3,0,1,1,2,0,1,1,1,0,0,0,1
228,10,4,21,4,6,4,21,1,1,1,0,1,1,0,4.61233630344012,0.37104602159926636,0.5708192027204292,48,70,2,0,0,1,6,0,1,1,0,1,1,1,1
211,10,6,10,14,9,6,41,4,0,1,1,0,0,1,4.596367327538046,0.20144193984732203,0.5439999550042498,25,22,4,0,1,1,4,0,0,1,1,1,1,1,1
191,5,5,21,11,10,4,40,4,0,0,0,0,0,0,4.488537613978074,0.2850301383379018,0.5606989372346353,89,59,0,0,1,0,2,0,1,0,1,1,1,1,1
171,3,6,13,6,10,6,37,3,0,1,0,1,0,1,4.698185856350094,0.2442905087624263,0.615875068307238,22,12,1,0,1,1,5,0,1,1,1,1,1,0,1
221,3,8,6,8,6,6,37,4,0,1,0,0,0,1,5.179869542116811,0.44476634385230485,0.6671373837678135,60,63,6,0,1,1,3,0,0,1,0,1,1,1,1
141,4,5,21,14,7,3,24,1,0,1,0,1,0,1,3.890925490893921,0.11922724621918425,0.5536045542855502,73,64,0,0,1,1,3,0,1,0,0,1,1,0,1
144,6,5,18,3,11,4,39,3,0,1,0,0,0,1,4.303532811133255,0.17854556243614023,0.366087137269049,27,28,3,1,1,1,6,0,0,0,0,1,1,0,1
192,5,3,4,13,5,6,30,1,0,0,0,0,0,1,5.094947461789724,0.43317507652831777,0.3542181520555738,48,69,5,0,0,0,3,1,0,1,0,1,1,1,1
164,8,7,18,2,9,7,22,4,0,1,0,0,0,1,4.044730340726207,0.17685285727073197,0.5123728001385175,61,75,3,0,0,1,7,0,1,1,0,1,0,0,1
163,4,5,5,10,9,8,27,2,0,0,1,0,0,0,4.9798247563290605,0.25623632225029835,0.6835413065460362,24,20,4,1,0,1,3,1,0,1,1,1,1,1,1
86,7,5,9,5,7,3,36,3,0,1,1,1,1,1,4.351700763835854,0.38360589434571324,0.48224317546748835,79,42,1,1,1,1,6,0,1,0,0,1,0,0,1
231,5,7,20,8,9,4,43,4,1,1,0,1,0,0,3.8227226388794597,0.2583777760335344,0.6449291176013686,88,40,2,0,0,1,2,1,0,1,1,1,1,0,1
84,9,5,24,14,11,4,41,3,0,1,1,0,0,0,5.167137892981204,0.16526915316455237,0.455490222852065,33,2,2,0,1,1,4,0,1,1,1,0,1,1,1
79,10,2,16,5,5,3,42,2,1,1,1,0,0,1,4.92972191409565,0.4279175508458338,0.5622862351427806,43,12,4,0,0,1,5,0,0,1,0,1,0,1,1
90,5,2,23,3,10,4,27,2,1,1,1,0,0,1,4.259093436942986,0.13140594720943793,0.35882173149415675,35,16,2,0,0,1,7,0,1,0,0,0,0,1,1
83,9,6,20,11,6,3,43,2,0,0,1,0,1,0,4.918912090322678,0.31084358858200667,0.6499011371707997,26,27,0,0,1,1,6,1,1,1,0,1,0,1,1
145,9,4,19,8,4,5,30,2,0,1,0,0,0,0,4.159410466149232,0.4394200525908535,0.624652707297973,54,77,4,1,1,1,7,0,0,1,0,1,1,0,1
109,3,4,16,4,10,3,19,3,0,1,1,0,0,1,4.252572238111147,0.30567224112856506,0.6013218178219877,55,39,3,1,1,0,7,0,1,0,1,1,0,0,1
146,6,4,10,6,9,5,37,2,0,0,1,0,1,1,4.715222661607688,0.21865555015064114,0.5794107874520005,51,7,5,0,0,1,8,0,1,1,1,1,1,1,1
186,6,3,8,11,6,4,34,2,0,1,0,0,0,0,4.530772159765271,0.4184291517811406,0.6277854184897493,47,28,0,0,1,0,7,1,0,1,0,0,0,0,1
147,8,6,23,9,7,7,33,4,0,1,0,0,0,0,4.388311470645413,0.16583647984247296,0.46865826907193925,69,56,2,1,0,1,3,1,1,0,0,0,1,1,1
191,3,2,19,10,4,8,18,4,0,0,0,0,0,1,4.530399899860177,0.25090283499939026,0.5593587580142712,71,50,6,0,1,1,2,0,1,1,0,1,0,1,1
94,11,2,4,7,9,3,25,2,0,1,1,0,0,0,4.327429389491965,0.38936682596323147,0.398503193004862,71,34,0,0,1,1,6,1,1,1,0,1,0,1,1
248,10,6,21,2,4,4,18,4,0,1,0,0,0,1,4.500925176925778,0.4461821788249658,0.40254534486224,23,45,5,1,1,0,2,0,1,1,1,0,1,1,1
186,9,4,20,5,10,5,19,1,0,1,1,0,0,1,4.010840832072169,0.10301603999681322,0.36653761859976974,40,60,1,1,0,1,8,0,0,1,1,0,0,1,1
135,4,5,6,7,8,6,34,1,0,0,0,0,0,1,4.261699531372104,0.42618052923049876,0.5886635667734756,75,72,6,0,1,1,4,1,0,1,0,1,1,0,1
80,10,2,7,13,11,7,20,1,0,1,0,0,0,0,4.251448646014489,0.34404578164047517,0.6849400546207728,24,47,1,0,0,0,6,1,1,1,1,0,1,1,1
221,8,7,16,6,9,6,37,1,0,1,0,0,1,1,4.538359692921384,0.4055455253905975,0.5876680447007976,64,26,0,0,1,1,8,0,0,1,1,0,0,0,1
217,5,4,10,2,10,3,28,1,0,0,0,0,1,1,4.942022889771479,0.23416997769367776,0.6203770321078447,76,64,4,0,0,1,2,1,0,0,1,0,1,0,1
188,7,3,4,10,9,7,43,2,0,1,0,0,0,0,4.447640084995132,0.24691787848456553,0.3918069525750451,78,20,0,0,0,1,2,0,1,1,1,1,0,0,1
103,6,3,24,13,4,8,43,4,0,1,0,0,1,0,4.6198452660518114,0.3735130437908476,0.48204864367147704,43,0,5,0,1,1,5,1,0,1,0,1,1,1,1
164,7,3,14,3,9,7,43,2,0,1,1,0,1,0,4.749634851762392,0.3613561001933163,0.5308010766950543,39,54,4,0,1,1,5,0,1,1,0,0,1,0,1
184,5,6,20,13,11,3,21,4,1,0,1,1,1,1,4.268102917404349,0.15809751902045957,0.5078815562813672,26,32,5,0,1,1,7,1,0,1,1,0,0,1,1
218,9,5,13,11,10,5,18,1,0,1,0,0,0,0,4.489972920096295,0.3705132804832002,0.4448982601822816,30,10,3,1,0,0,8,0,0,1,0,0,1,0,1
231,6,4,5,5,9,4,44,1,0,0,0,0,0,1,4.092988286600731,0.38802755701758407,0.4194340371485348,69,57,5,0,0,1,7,0,0,0,0,0,0,1,1
104,10,4,19,2,7,8,43,1,0,1,1,0,0,1,4.144373425466869,0.272063617004109,0.6320359364727178,47,31,6,1,1,1,4,0,1,1,1,0,1,0,1
176,9,7,5,6,9,7,33,4,0,1,1,0,1,0,4.157174518480687,0.27890031720048014,0.6820262637706672,47,30,0,0,0,1,8,0,1,1,0,0,1,1,1
198,10,5,18,2,7,6,42,2,0,1,0,0,1,1,5.004788977383085,0.17923913914396694,0.5261124843537107,36,42,6,1,1,1,8,0,1,1,0,0,1,1,1
213,7,8,22,2,9,4,23,3,0,1,0,1,0,0,4.605412933679903,0.13258826580048583,0.6455430149579506,57,13,1,0,0,1,7,1,1,1,1,0,0,1,1
167,10,4,20,13,10,6,36,3,0,1,0,1,0,1,5.1227272407216535,0.2558429130997858,0.5863705647366659,67,4,5,0,1,1,3,1,0,1,0,0,1,1,1
228,7,2,20,3,4,6,23,2,0,1,0,0,0,1,4.970208159777011,0.1262987927762687,0.6089408829134766,35,79,5,0,1,1,7,0,0,0,1,1,1,1,1
112,5,6,10,9,9,7,22,4,1,0,0,1,1,0,4.195548161801395,0.30885422265117507,0.5021114614883379,31,8,6,0,1,1,8,0,0,1,1,0,0,1,1
241,10,5,15,8,5,7,38,3,0,1,1,0,1,0,4.406197501237739,0.2533834249806507,0.4358746927267693,73,16,2,0,1,1,6,0,1,1,0,1,0,0,1
148,8,8,13,4,9,3,30,4,0,1,1,0,1,1,4.579707209698831,0.4257489134219764,0.36267781586585623,49,60,4,0,1,1,8,1,1,1,1,1,1,1,1
82,5,5,10,6,7,6,26,1,1,0,1,1,1,0,4.664724336237994,0.3136014830963477,0.6953443705314853,71,7,2,0,1,1,8,0,0,1,0,1,0,0,1
172,3,4,23,7,8,6,37,4,0,1,0,1,1,0,3.8482593899658677,0.34810172745428436,0.6997865127800844,30,44,0,1,1,1,3,0,0,1,0,0,1,0,1
172,9,8,23,10,10,5,37,2,1,1,1,0,1,0,4.03610283452697,0.19926040236195086,0.49639706172992837,28,25,3,0,0,1,7,0,1,0,1,1,1,1,1
121,5,6,23,3,10,6,44,4,0,1,0,0,1,0,4.056645426617356,0.2641967029402409,0.5777842927654121,27,20,0,0,1,0,3,0,0,0,0,1,1,0,1
184,4,2,19,5,7,3,44,3,0,1,0,0,0,0,4.588215064120902,0.2655105137539583,0.5792898619986677,29,16,5,1,0,1,8,1,0,1,0,0,1,1,1
204,9,3,10,6,11,5,38,2,0,0,0,1,0,1,4.350550188160933,0.35981642919888124,0.5159849034988853,68,9,3,0,1,1,7,0,1,0,1,1,1,0,1
223,4,6,19,10,11,3,26,1,0,1,0,0,0,0,5.16556605335671,0.2613432886455147,0.5748840607609866,67,73,5,0,1,1,3,0,0,1,0,1,1,1,1
103,8,7,13,3,5,3,41,2,0,1,1,0,0,1,5.149619183303716,0.3855172640583948,0.6032457739321311,46,7,6,0,1,1,2,1,1,1,0,0,0,1,1
175,11,3,13,7,9,6,39,4,0,0,0,0,0,1,3.9169868450078695,0.2365966496203201,0.440190481945549,31,13,6,1,0,1,8,0,0,1,0,1,0,1,1
189,5,4,18,9,9,3,30,2,0,1,1,0,1,1,4.2637514844358595,0.2589626540957942,0.4166468266332223,64,54,1,0,1,1,7,0,0,1,1,0,0,0,1
239,8,2,5,12,4,5,18,2,0,0,1,0,0,0,4.796403967890515,0.4004520697756139,0.4143272244496379,43,0,1,0,1,1,6,0,1,1,0,1,0,0,1
239,4,2,19,3,8,3,36,1,0,1,0,0,0,0,5.178419058160594,0.33730404396012864,0.3640635504199646,26,10,6,0,1,1,6,1,1,1,1,1,0,0,1
238,4,3,16,5,6,4,34,1,0,1,0,0,0,1,4.016025206211758,0.4261281168435441,0.6165277117369639,41,73,5,0,0,1,8,1,1,1,1,1,0,0,1
245,8,6,7,13,9,4,27,3,0,1,1,0,0,0,3.994607109917171,0.3827418683971987,0.5870115865821632,20,37,1,0,1,1,3,0,1,1,1,0,1,1,1
81,9,4,17,13,11,6,37,4,0,1,0,0,0,0,4.461602915269901,0.4399756584299279,0.543554552220542,48,21,6,1,0,1,5,0,0,1,1,0,1,1,1
219,6,2,8,8,5,8,38,2,1,0,0,0,0,0,4.947735551459964,0.26921402797169414,0.5366755056301453,86,11,2,1,1,1,2,1,1,1,0,1,1,1,1
112,7,4,17,11,9,6,32,2,0,0,0,0,0,1,5.119512968647729,0.21171089011856536,0.4395786786582603,80,79,0,1,1,1,7,0,1,0,0,0,0,1,1
152,3,3,19,13,4,3,20,4,1,1,0,0,0,0,4.369103085273954,0.3970702297711668,0.5272656586744328,41,46,1,0,1,1,2,0,1,1,0,1,1,1,1
106,9,7,11,4,5,3,36,3,0,0,0,0,0,1,3.962539031062179,0.11355291043014867,0.4651302776667724,34,39,2,0,1,1,4,0,1,1,1,0,1,1,1
171,9,4,17,7,5,5,29,1,1,0,1,0,0,1,5.081555711925485,0.25922382956700696,0.6839938968662151,82,2,2,0,0,1,5,0,0,0,1,1,1,0,1
98,5,8,17,2,5,7,41,4,1,1,0,0,1,0,4.532793386982849,0.4175190806678144,0.6572968083474464,77,65,2,0,1,1,5,0,1,1,1,1,1,0,1
72,10,7,5,2,10,4,41,2,0,1,1,0,1,0,5.094005663173452,0.38756459795399123,0.5468848422645924,43,14,3,0,1,1,3,0,1,1,1,1,1,1,1
166,10,4,6,13,5,5,18,3,0,1,0,0,0,1,3.8491270722919313,0.4468030454371221,0.6237993732262457,40,75,1,1,0,1,8,0,1,1,0,0,0,1,1
151,5,7,24,12,7,6,30,4,0,1,0,0,0,0,4.590014688161141,0.25475199511257335,0.5968340205771432,58,6,5,0,1,1,3,0,1,1,1,1,0,0,1
188,6,2,16,12,5,7,38,4,0,0,0,0,1,0,4.805446108979112,0.2984882779210773,0.5237955859652655,50,64,4,0,0,1,6,0,0,0,0,0,1,0,1
213,9,5,14,9,10,8,20,3,0,1,1,1,0,1,3.8682113974538184,0.10577194064217747,0.5157163906980142,46,0,1,0,0,1,6,1,1,0,1,0,1,1,1
172,8,5,12,8,11,8,22,1,0,0,0,0,0,1,4.918750427815915,0.27439770554861553,0.6740447626071077,55,49,2,0,1,0,5,1,0,0,0,1,0,1,1
94,9,8,6,5,6,8,30,2,0,0,1,0,1,0,4.908832539961683,0.2405945714258687,0.6028672381086146,42,31,6,0,1,1,7,1,0,1,0,1,1,0,1
208,8,8,19,13,6,8,24,2,0,1,0,0,0,1,4.00047543284037,0.1862665485791994,0.4196348490576183,37,18,2,0,1,0,6,0,0,1,1,1,0,0,1
106,5,7,13,3,10,5,36,2,0,1,0,1,1,0,4.638401718140494,0.24548919320125018,0.556157287318576,59,24,0,0,1,0,5,1,1,0,1,1,0,1,1
161,5,4,9,5,7,8,38,2,0,1,1,0,1,1,4.383874036754607,0.40781339945645667,0.37005176135280005,35,17,6,0,1,1,8,0,1,1,1,0,1,0,1
200,5,2,11,14,10,7,41,2,0,1,1,0,1,1,4.48186369073082,0.16456505446268707,0.38309437273218866,42,47,2,0,1,1,6,0,1,1,0,1,1,1,1
67,7,2,4,7,9,8,20,1,0,1,1,1,0,0,4.414649157119335,0.35696827387638586,0.6536592529506173,32,60,6,0,0,0,8,0,0,0,1,0,1,0,1
88,6,7,21,12,10,8,43,3,0,0,0,0,0,0,4.034207719765921,0.44123694584831985,0.4392561119461994,37,38,5,0,1,1,5,0,0,1,0,1,0,1,1
95,8,3,22,3,9,6,38,2,0,1,0,0,1,0,4.031110042922937,0.4458617485950025,0.4644218093172786,48,7,2,1,0,1,3,0,0,1,0,0,0,0,1
149,10,4,14,8,9,6,20,4,0,1,0,0,1,0,5.099001515648184,0.43607910158303875,0.39475883452331073,73,74,2,0,1,1,2,1,0,1,0,0,1,1,1
64,4,2,9,4,4,4,31,1,1,1,0,0,0,0,4.5948585635776675,0.14814472162262396,0.5474251366238049,35,4,5,0,1,1,5,0,0,0,0,0,1,0,1
129,7,4,9,3,6,7,43,3,0,1,0,0,1,1,4.7598291254130745,0.11397967378026423,0.6282595925536542,63,34,1,0,1,1,2,0,0,0,0,1,1,1,1
175,7,3,23,6,10,5,29,3,0,0,0,0,1,1,3.8395073450482595,0.3365684971354477,0.47029852694897434,35,75,3,0,1,1,4,0,1,1,1,1,0,1,1
99,3,3,24,3,4,7,29,2,0,0,0,0,1,0,4.989148172391815,0.4251255059942257,0.4391703484341378,70,40,0,0,1,1,7,0,1,1,1,1,1,0,1
235,9,6,8,8,4,5,31,3,0,0,0,0,0,1,5.0116045978709405,0.2352308776926324,0.48856943766424576,32,24,2,0,1,1,5,1,0,1,0,1,1,0,1
201,10,2,6,3,11,6,32,4,0,1,0,0,0,0,4.496775981263748,0.13262637443361117,0.3755644461666156,61,74,1,1,1,1,3,1,1,0,1,1,0,0,1
227,9,7,6,2,4,6,23,4,0,1,0,0,1,0,4.1833877101043315,0.22070303109385422,0.3816256068454963,49,39,4,0,1,0,3,1,0,1,1,1,1,1,1
190,7,8,17,6,4,6,29,1,0,1,1,0,0,0,5.194771088114787,0.4428675883935007,0.49808023520511463,60,57,0,0,1,1,6,0,1,1,0,1,0,1,1
